raw_affiliation,status,institution_id,institution_name,institution_type,country_code,lineage,score,matched_via,candidate
"Advanced Electronics and Photonics Research Centre, National Research Council Canada, Ottawa, ON, Canada",auto,https://openalex.org/I4210159778,National Research Council Canada,government,CA,https://openalex.org/I4210159778,1.000,National Research Council Canada,National Research Council Canada
"Advanced Fiber Devices and Systems Group, Key Laboratory of Micro and Nano Photonic Structures (MoE), Key Laboratory for Information Science of Electromagnetic Waves (MoE), Shanghai Engineering Research Center of Ultra-Precision Optical Manufacturing, School of Information Science and Technology, Fudan University, Shanghai, China",auto,https://openalex.org/I4210141165,Ministry of Education,government,TW,https://openalex.org/I4210141165|https://openalex.org/I4405257903,1.000,MoE,MoE
"Advanced Fiber Resources (Zhuhai), Ltd., Zhuhai, China",auto,https://openalex.org/I4210140060,Advanced Fiber Resources (China),company,CN,https://openalex.org/I4210140060,0.950,advanced fiber resources (china),Advanced Fiber Resources
"Advanced Industrial Science and Technology, Tsukuba, Japan",auto,https://openalex.org/I73613424,National Institute of Advanced Industrial Science and Technology,government,JP,https://openalex.org/I73613424,0.950,national institute of advanced industrial science and technology,Advanced Industrial Science and Technology
"Advanced Innovation Center for Integrated Circuits, Beijing, Beijing, China",unmatched,,Beijing Normal University,education,CN,https://openalex.org/I25254941,0.438,Beijing Normal University,Beijing
"Advanced Innovation for Integrated Circuits, Beijing, Beijing, China",unmatched,,Beijing Normal University,education,CN,https://openalex.org/I25254941,0.438,Beijing Normal University,Beijing
"Advanced Institute of Informative Technology of Peking University,Hangzhou,China",unmatched,,Hangzhou Xixi hospital,healthcare,CN,https://openalex.org/I4210140800,0.533,Hangzhou Xixi hospital,Hangzhou
"Advanced Institute of Photonic Technology and the School of Information Engineering of Guangdong University of Technology, Guangzhou, China",unmatched,,,,,,0.000,,
"Advanced Institute of Photonic Technology and the School of Information Engineering of Guangdong, University of Technology, Guangzhou, China",auto,https://openalex.org/I4210134318,University of Technology,education,RU,https://openalex.org/I4210134318,1.000,University of Technology,University of Technology
"Advanced Institute of Photonic Technology and the School of Information Engineering, Guangdong University of Technology, Guangzhou, China",auto,https://openalex.org/I139024713,Guangdong University of Technology,education,CN,https://openalex.org/I139024713,1.000,Guangdong University of Technology,Guangdong University of Technology
"Advanced Institute of Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangdong, China",auto,https://openalex.org/I139024713,Guangdong University of Technology,education,CN,https://openalex.org/I139024713,1.000,Guangdong University of Technology,Guangdong University of Technology
"Advanced Institute of Photonics Technology, School of Information Engineering, and Guangdong Provincial Key Laboratory of Information Photonics Technology, Guangdong University of Technology, Guangzhou, China",auto,https://openalex.org/I139024713,Guangdong University of Technology,education,CN,https://openalex.org/I139024713,1.000,Guangdong University of Technology,Guangdong University of Technology
"Advanced Interdisciplinary Innovation Laboratory of Terahertz Biophysics, National Innovation Institute of Defense Technology, Beijing, China",unmatched,,,company,,,0.850,beijing geriatric hospital,Beijing
"Advanced Laser Technology Laboratory of Anhui Province, Department of Optics and Optical Engineering, University of Science and Technology of China, Hefei, Anhui, China",auto,https://openalex.org/I126520041,University of Science and Technology of China,education,CN,https://openalex.org/I126520041|https://openalex.org/I19820366,1.000,University of Science and Technology of China,University of Science and Technology of China
"Advanced Memory Development Center, Kioxia Corporation,Yokkaichi,Mie,Japan",auto,https://openalex.org/I4405260140,KIOXIA Corporation (Japan),company,JP,https://openalex.org/I4405260140,1.000,KIOXIA,Kioxia
Advanced Micro Devices,auto,https://openalex.org/I4210137977,Advanced Micro Devices (United States),company,US,https://openalex.org/I4210137977,0.970,Advanced Micro Devices (United States),Advanced Micro Devices
"Advanced Micro Devices, Inc,AMD Research and Advanced Development",auto,https://openalex.org/I4210137977,Advanced Micro Devices (United States),company,US,https://openalex.org/I4210137977,0.970,Advanced Micro Devices (United States),Advanced Micro Devices
"Advanced Micro Devices, Inc.,Fort Collins,CO,USA",auto,https://openalex.org/I4210137977,Advanced Micro Devices (United States),company,US,https://openalex.org/I4210137977,0.970,Advanced Micro Devices (United States),Advanced Micro Devices
"Advanced Micro Devices,San Jose,CA,USA",auto,https://openalex.org/I4210137977,Advanced Micro Devices (United States),company,US,https://openalex.org/I4210137977,0.970,Advanced Micro Devices (United States),Advanced Micro Devices
"Advanced Micro Foundry Pte Ltd., Singapore",unmatched,,,,,,0.000,,
"Advanced Micro Foundry, Singapore",unmatched,,,,,,0.000,,
"Advanced Network Research Laboratories, NEC Corporation, Kawasaki, Japan",auto,https://openalex.org/I4210107353,NEC (United States),company,US,https://openalex.org/I118347220|https://openalex.org/I4210107353,0.950,nec corporation of america,NEC Corporation
"Advanced Photonic Integrated Devices Development Department, Furukawa Electric Company, Ltd, Ichihara, Japan",unmatched,,,company,,,0.850,ich,Ichihara
"Advanced Photonic Technology Lab, College of Electronics and Optical Engineering and College of Flexible Electronics (Future Technology), Nanjing University of Posts and Telecommunications, Nanjing, China",auto,https://openalex.org/I41198531,Nanjing University of Posts and Telecommunications,education,CN,https://openalex.org/I41198531,1.000,Nanjing University of Posts and Telecommunications,Nanjing University of Posts and Telecommunications
"Advanced Photonic Technology Lab, College of Electronics and Optical Engineering and College of Microelectronics, Nanjing University of Posts and Telecommunications, Nanjing, China",auto,https://openalex.org/I41198531,Nanjing University of Posts and Telecommunications,education,CN,https://openalex.org/I41198531,1.000,Nanjing University of Posts and Telecommunications,Nanjing University of Posts and Telecommunications
"Advanced Photonic Technology Lab, Nanjing University of Posts and Telecommunications, Nanjing, China",auto,https://openalex.org/I41198531,Nanjing University of Posts and Telecommunications,education,CN,https://openalex.org/I41198531,1.000,Nanjing University of Posts and Telecommunications,Nanjing University of Posts and Telecommunications
"Advanced Photonics Center, School of Electronic Science and Engineering, Southeast University, Nanjing, China",auto,https://openalex.org/I4210090971,Southeast University,education,BD,https://openalex.org/I4210090971,1.000,Southeast University,Southeast University
"Advanced Photonics Center, Southeast University, Nanjing, China",auto,https://openalex.org/I4210090971,Southeast University,education,BD,https://openalex.org/I4210090971,1.000,Southeast University,Southeast University
"Advanced Process & Device Development Group, Western Digital Corporation,Yokkaichi,Mie,Japan",auto,https://openalex.org/I4210121352,Western Digital (United States),company,US,https://openalex.org/I4210121352,1.000,Western Digital,Western Digital
"Advanced Research Center for Microwave Photonics (ARC-MWP), School of Optoelectronic Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China",auto,https://openalex.org/I150229711,University of Electronic Science and Technology of China,education,CN,https://openalex.org/I150229711,1.000,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China
Advanced Research Center for Nanolithography (ARCNL),auto,https://openalex.org/I4210145651,Advanced Research Center for Nanolithography (Netherlands),company,NL,https://openalex.org/I2800991832|https://openalex.org/I4210092504|https://openalex.org/I4210145651|https://openalex.org/I4405262988|https://openalex.org/I865915315|https://openalex.org/I887064364|https://openalex.org/I927257375,1.000,ARCNL,ARCNL
"Advanced Technology Laboratory, Fujikura Ltd., Chiba, Japan",auto,https://openalex.org/I4210089285,Ji Hua Laboratory,facility,CN,https://openalex.org/I4210089285,0.950,advanced manufacturing science and technology guangdong laboratory,Advanced Technology Laboratory
"Advanced Technology Laboratory, Fujitsu Network Communications Inc., Dallas, TX, USA",auto,https://openalex.org/I4210089285,Ji Hua Laboratory,facility,CN,https://openalex.org/I4210089285,0.950,advanced manufacturing science and technology guangdong laboratory,Advanced Technology Laboratory
"Advantest Europe GmbH,Böblingen,Germany",auto,https://openalex.org/I4210139423,Klinikum Sindelfingen-Böblingen,healthcare,DE,https://openalex.org/I4210139423,0.970,Klinikum Sindelfingen-Böblingen,Böblingen
Aegiq Ltd,review,https://openalex.org/I4210140745,State Archives of Belgium,archive,BE,https://openalex.org/I4210140745,0.850,ae,Aegiq
"Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China",auto,https://openalex.org/I4210137199,Aerospace Information Research Institute,education,CN,https://openalex.org/I19820366|https://openalex.org/I4210137199,1.000,Aerospace Information Research Institute,Aerospace Information Research Institute
Agency for Science Technology and Research,auto,https://openalex.org/I1315852903,Japan Agency for Marine-Earth Science and Technology,facility,JP,https://openalex.org/I1315852903,0.950,japan agency for marine-earth science and technology,Agency for Science Technology
"Agency for Science, Technology and Research",auto,https://openalex.org/I4392738327,Nuclear Science and Technology Research Institute,facility,,https://openalex.org/I102962589|https://openalex.org/I4392738327,0.950,nuclear science and technology research institute,Technology and Research
"Agency for Science, Technology and Research (A*STAR), Institute of Microelectronics, Singapore",auto,https://openalex.org/I115228651,"Agency for Science, Technology and Research",government,SG,https://openalex.org/I115228651,1.000,A*STAR,A*STAR
"Agency for Science, Technology, and Research",auto,https://openalex.org/I4210124562,Danish Agency for Science and Higher Education,government,DK,https://openalex.org/I4210124562|https://openalex.org/I4210142071,0.950,danish agency for science and higher education,Agency for Science
Air Force Research Laboratory,auto,https://openalex.org/I1280414376,United States Air Force Research Laboratory,facility,US,https://openalex.org/I1280414376|https://openalex.org/I1330347796|https://openalex.org/I4210102105|https://openalex.org/I4389425425,1.000,Air Force Research Laboratory,Air Force Research Laboratory
Air Force Research Laboratory Information Directorate,auto,https://openalex.org/I4388482673,U.S. Air Force Research Laboratory Information Directorate,government,,https://openalex.org/I1280414376|https://openalex.org/I1330347796|https://openalex.org/I4210102105|https://openalex.org/I4388482673|https://openalex.org/I4389425425,1.000,Air Force Research Laboratory Information Directorate,Air Force Research Laboratory Information Directorate
"Air Force Research Laboratory Information Directorate, Rome, NY, USA",auto,https://openalex.org/I4388482673,U.S. Air Force Research Laboratory Information Directorate,government,,https://openalex.org/I1280414376|https://openalex.org/I1330347796|https://openalex.org/I4210102105|https://openalex.org/I4388482673|https://openalex.org/I4389425425,1.000,Air Force Research Laboratory Information Directorate,Air Force Research Laboratory Information Directorate
"Air Force Research Laboratory, Materials and Manufacturing Directorate, Wright-Patterson Air Force Base, Dayton, OH, USA",auto,https://openalex.org/I2799950915,Wright-Patterson Air Force Base,other,US,https://openalex.org/I1330347796|https://openalex.org/I2799950915|https://openalex.org/I4210089612|https://openalex.org/I4210102105,1.000,Wright-Patterson Air Force Base,Wright-Patterson Air Force Base
"Air Force Research Laboratory, Munitions Directorate, Eglin Air Force Base, FL, USA",auto,https://openalex.org/I2801461044,Eglin Air Force Base,government,US,https://openalex.org/I1330347796|https://openalex.org/I2801461044|https://openalex.org/I4210089612|https://openalex.org/I4210102105,1.000,Eglin Air Force Base,Eglin Air Force Base
"Air Force Research Laboratory, Sensors Directorate, Wright-Patterson Air Force Base, Dayton, OH, USA",auto,https://openalex.org/I2799950915,Wright-Patterson Air Force Base,other,US,https://openalex.org/I1330347796|https://openalex.org/I2799950915|https://openalex.org/I4210089612|https://openalex.org/I4210102105,1.000,Wright-Patterson Air Force Base,Wright-Patterson Air Force Base
"Air Force Research Laboratory,Ohio,USA",auto,https://openalex.org/I1280414376,United States Air Force Research Laboratory,facility,US,https://openalex.org/I1280414376|https://openalex.org/I1330347796|https://openalex.org/I4210102105|https://openalex.org/I4389425425,1.000,Air Force Research Laboratory,Air Force Research Laboratory
"Aix Marseille Univ, CNRS, Centrale Med, Institut Fresnel, UMR 7249",auto,https://openalex.org/I4210125985,Institut Fresnel,facility,FR,https://openalex.org/I1294671590|https://openalex.org/I1294671590|https://openalex.org/I21491767|https://openalex.org/I4210095849|https://openalex.org/I4210125985|https://openalex.org/I4210142724,1.000,Institut Fresnel,Institut Fresnel
Aix Marseille Université,unmatched,,,,,,0.000,,
"Aix-Marseille Univ,CNRS, IM2NP,France",auto,https://openalex.org/I1294671590,Centre National de la Recherche Scientifique,government,FR,https://openalex.org/I1294671590,1.000,CNRS,CNRS
Aix-Marseille University,auto,https://openalex.org/I21491767,Aix-Marseille Université,education,FR,https://openalex.org/I21491767,1.000,Aix-Marseille University,Aix-Marseille University
Ajou University,auto,https://openalex.org/I57664883,Ajou University,education,KR,https://openalex.org/I57664883,1.000,Ajou University,Ajou University
"Ajou University,Republic of Korea",auto,https://openalex.org/I57664883,Ajou University,education,KR,https://openalex.org/I57664883,1.000,Ajou University,Ajou University
Albany Medical College,unmatched,,,,,,0.000,,
"Albany,New York,USA",unmatched,,"University at Albany, State University of New York",education,US,https://openalex.org/I392282,0.462,University at Albany,Albany
"Alcatel Submarine Networks, Ctr. de Villarceaux, Nozay, France",unmatched,,,,,,0.000,,
"Alcatel Submarine Networks, Nokia, Nozay, France",unmatched,,,company,,,0.850,nokia (united states),Nokia
"Alcatel Submarine Networks, Nozay, France",unmatched,,,,,,0.000,,
"Alcatel Submarine Networks, Paris Saclay, Route de Villejust, Nozay, France",auto,https://openalex.org/I4210090571,Institut des Sciences des Plantes de Paris Saclay,facility,FR,https://openalex.org/I1294671590|https://openalex.org/I204730241|https://openalex.org/I277688954|https://openalex.org/I277688954|https://openalex.org/I4210088668|https://openalex.org/I4210090571|https://openalex.org/I88467170,0.950,institut des sciences des plantes de paris saclay,Paris Saclay
"Alcatel Submarine Networks, Paris-Saclay, Nozay, France",unmatched,,,,,,0.000,,
"Alcatel-Lucent Bell Laboratories, Holmdel, NJ, USA",unmatched,,,company,,,0.850,ho,Holmdel
"Alcatel-Lucent Bell Labs, Stuttgart, Germany",unmatched,,,,,,0.000,,
Alibaba Group,auto,https://openalex.org/I45928872,Alibaba Group (China),company,CN,https://openalex.org/I45928872,1.000,Alibaba Group,Alibaba Group
Alibaba Group and The Chinese University of Hong Kong,auto,https://openalex.org/I45928872,Alibaba Group (China),company,CN,https://openalex.org/I45928872,1.000,Alibaba Group,Alibaba Group
"Alibaba Group, San Mateo, CA, USA",auto,https://openalex.org/I45928872,Alibaba Group (China),company,CN,https://openalex.org/I45928872,1.000,Alibaba Group,Alibaba Group
"Alibaba Group,DAMO Academy,Beijing,China",auto,https://openalex.org/I45928872,Alibaba Group (China),company,CN,https://openalex.org/I45928872,1.000,Alibaba Group,Alibaba Group
"All-Optics Laboratory, Huawei Technologies Co., Ltd., Shenzhen, China",auto,https://openalex.org/I2250955327,Huawei Technologies (China),company,CN,https://openalex.org/I2250955327,0.950,huawei technologies (china),Huawei Technologies
"Amazon Web Services (AWS), San Carlos, CA, USA",auto,https://openalex.org/I4210097846,Instituto de Investigación Sanitaria del Hospital Clínico San Carlos,healthcare,ES,https://openalex.org/I4210097846,0.950,instituto de investigación sanitaria del hospital clínico san carlos,San Carlos
American University of Sharjah,auto,https://openalex.org/I199440890,American University of Sharjah,education,AE,https://openalex.org/I199440890,1.000,American University of Sharjah,American University of Sharjah
Amethyst Research Ltd,auto,https://openalex.org/I4210086819,Amethyst Research (United States),company,US,https://openalex.org/I4210086819,0.950,amethyst research (united states),Amethyst Research
"Ampliconyx Ltd., Tampere, Finland",unmatched,,,company,,,0.850,tampere university hospital,Tampere
Amplitude,unmatched,,,,,,0.000,,
Analog Devices,auto,https://openalex.org/I117023288,Analog Devices (United States),company,US,https://openalex.org/I117023288,0.970,Analog Devices (United States),Analog Devices
"Analog Devices Inc,Wilmington,MA,USA",auto,https://openalex.org/I117023288,Analog Devices (United States),company,US,https://openalex.org/I117023288,0.970,Analog Devices (United States),Analog Devices
"Analog and Mixed signal Center, Department of Electrical and Computer Engineering, Texas A&M University, Bryan-College Station, TX, USA",auto,https://openalex.org/I91045830,Texas A&M University,education,US,https://openalex.org/I91045830,1.000,Texas A&M University,Texas A&M University
"Analog and Mixed-Signal Center, Texas A&M University, College Station, TX, USA",auto,https://openalex.org/I91045830,Texas A&M University,education,US,https://openalex.org/I91045830,1.000,Texas A&M University,Texas A&M University
Anello Photonics,unmatched,,,,,,0.000,,
"Angle AI (Tianjin) Technology Co. Ltd., Tianjin, China",unmatched,,,company,,,0.850,ti,Tianjin
Anhui Medical University,auto,https://openalex.org/I197869895,Anhui Medical University,education,CN,https://openalex.org/I197869895,1.000,Anhui Medical University,Anhui Medical University
"Anhui Province Key Laboratory of Measuring Theory and Precision Instrument, School of Instrument Science and Optoelectronics Engineering, Hefei University of Technology, Hefei, China",auto,https://openalex.org/I16365422,Hefei University of Technology,education,CN,https://openalex.org/I16365422,1.000,Hefei University of Technology,Hefei University of Technology
"Anhui University,School of Integrated Circuits,Hefei,China,230601",auto,https://openalex.org/I143868143,Anhui University,education,CN,https://openalex.org/I143868143,1.000,Anhui University,Anhui University
"Anhui University,School of Integrated Circuits,Heifei,China",auto,https://openalex.org/I143868143,Anhui University,education,CN,https://openalex.org/I143868143,1.000,Anhui University,Anhui University
"Ansys Inc.,USA",unmatched,,Ansys (France),company,FR,https://openalex.org/I21160419|https://openalex.org/I4210138969,0.588,Ansys (France),Ansys
"Antwerp Space NV, Antwerp, Belgium",review,https://openalex.org/I2799869615,Antwerp Maritime Academy,education,BE,https://openalex.org/I2799869615,0.850,antwerp maritime academy,Antwerp
Anyon Computing Inc.,unmatched,,,,,,0.000,,
Apple Inc.,auto,https://openalex.org/I4210153776,Apple (United States),company,US,https://openalex.org/I4210153776,1.000,Apple,Apple
"Applied Materials Inc,Santa Clara,California,USA",auto,https://openalex.org/I193427800,Applied Materials (United States),company,US,https://openalex.org/I193427800,0.970,Applied Materials (United States),Applied Materials
"Applied Materials India Pvt. Ltd.,Bangalore,India",unmatched,,Bangalore University,education,IN,https://openalex.org/I53465836,0.621,Bangalore University,Bangalore
"Applied Materials, Inc.,Santa Clara,CA,USA",auto,https://openalex.org/I193427800,Applied Materials (United States),company,US,https://openalex.org/I193427800,0.970,Applied Materials (United States),Applied Materials
"Applied Optoelectronics Inc., Sugar Land, TX, USA",auto,https://openalex.org/I4210140794,Houston Methodist Sugar Land Hospital,healthcare,US,https://openalex.org/I4210140794,0.950,houston methodist sugar land hospital,Sugar Land
