raw_affiliation,status,institution_id,institution_name,institution_type,country_code,lineage,score,matched_via,candidate
"ARC Centre of Excellence on Transformative Metal-Optical Systems (TMOS), the Department of Electrical, Electronic and Computer Engineering, University of Western Australia, Perth, WA, Australia",auto,https://openalex.org/I4210149973,ARC Centre of Excellence for Transformative Meta-Optical Systems,facility,AU,https://openalex.org/I118347636|https://openalex.org/I1337719021|https://openalex.org/I2801453606|https://openalex.org/I4210132349|https://openalex.org/I4210149973,1.000,TMOS,TMOS
ARM Inc.,review,https://openalex.org/I4210160609,Arkansas Department of Agriculture,government,US,https://openalex.org/I4210160609,0.850,ar,ARM Inc
"ARM Research, San Jose, CA, USA",auto,https://openalex.org/I4210156208,Kaiser Permanente San Jose Medical Center,healthcare,US,https://openalex.org/I1343052199|https://openalex.org/I4210156208,0.950,kaiser permanente san jose medical center,San Jose
"ASIC & System State Key Lab, Dept. of Microelectronics, Fudan University, Shanghai, China",auto,https://openalex.org/I24943067,Fudan University,education,CN,https://openalex.org/I24943067,1.000,Fudan University,Fudan University
"ASIC & System State Key Lab, Dept. of Microelectronics, Fudan University, Shanghai, China and Dept. of EE, University of Texas at Dallas, Dallas, USA",auto,https://openalex.org/I24943067,Fudan University,education,CN,https://openalex.org/I24943067,1.000,Fudan University,Fudan University
"ASML Brion Inc., CA, USA",unmatched,,,,,,0.000,,
"ASML Netherlands B.V.,Veldhoven,The Netherlands",unmatched,,,,,,0.000,,
"ASML, Veldhoven, The Netherlands",review,https://openalex.org/I927257375,ASML (Netherlands),company,NL,https://openalex.org/I4210092504|https://openalex.org/I927257375,0.850,asml (netherlands),ASML
"ASN, Les Ulis, France",unmatched,,,,,,0.000,,
"ASU,Tempe,AZ,USA",review,https://openalex.org/I4210141726,Tempe Union High School District,education,US,https://openalex.org/I4210141726,0.850,tempe union high school district,Tempe
"ASUSTeK Computer Inc.,Taipei,Taiwan,112019",auto,https://openalex.org/I3020783763,Asus (Taiwan),company,TW,https://openalex.org/I3020783763,0.950,asustek computer inc,ASUSTeK Computer
"AT&T Labs, San Ramon, CA, USA",unmatched,,,,,,0.000,,
"AVIC Chengdu Aircraft Design and Research Institute, Chengdu, China",auto,https://openalex.org/I876098953,Bangalore Medical College and Research Institute,education,IN,https://openalex.org/I286135121|https://openalex.org/I876098953,0.950,bangalore medical college and research institute,Research Institute
"Aalto University, Finland",auto,https://openalex.org/I9927081,Aalto University,education,FI,https://openalex.org/I9927081,1.000,Aalto University,Aalto University
"Aalto University, Finland and Trustonic, Finland",auto,https://openalex.org/I9927081,Aalto University,education,FI,https://openalex.org/I9927081,1.000,Aalto University,Aalto University
"Aalto University, Finland, Huawei Technologies Oy, Finland",auto,https://openalex.org/I9927081,Aalto University,education,FI,https://openalex.org/I9927081,1.000,Aalto University,Aalto University
Aarhus University,auto,https://openalex.org/I204337017,Aarhus University,education,DK,https://openalex.org/I204337017,1.000,Aarhus University,Aarhus University
"Aarhus University,Department of Computer Science,Aarhus,Denmark",auto,https://openalex.org/I204337017,Aarhus University,education,DK,https://openalex.org/I204337017,1.000,Aarhus University,Aarhus University
"Acacia Communication Inc., Holmdel, NJ, USA",review,https://openalex.org/I1283026217,Home Office,government,GB,https://openalex.org/I1283026217|https://openalex.org/I2802373619,0.850,ho,Holmdel
Academia Sinica,auto,https://openalex.org/I84653119,Academia Sinica,facility,TW,https://openalex.org/I84653119,1.000,Academia Sinica,Academia Sinica
"Academia Sinica, Institute of Information Science, Taipei, Taiwan",auto,https://openalex.org/I4210147455,Institute of Information Science,education,SI,https://openalex.org/I4210147455,1.000,Institute of Information Science,Institute of Information Science
"Academia Sinica, Taipei, Taiwan",auto,https://openalex.org/I84653119,Academia Sinica,facility,TW,https://openalex.org/I84653119,1.000,Academia Sinica,Academia Sinica
"Academia Sinica, Taipei, Taiwan, Taiwan",auto,https://openalex.org/I84653119,Academia Sinica,facility,TW,https://openalex.org/I84653119,1.000,Academia Sinica,Academia Sinica
"Academia Sinica,Institute of Information Science,Taipei,Taiwan R.O.C.",auto,https://openalex.org/I4210147455,Institute of Information Science,education,SI,https://openalex.org/I4210147455,1.000,Institute of Information Science,Institute of Information Science
"Academia Sinica,Research Center for Information Technology Innovation,Taipei,Taiwan",auto,https://openalex.org/I84653119,Academia Sinica,facility,TW,https://openalex.org/I84653119,1.000,Academia Sinica,Academia Sinica
"Academia Sinica,Taipei,Taiwan,R.O.C.",auto,https://openalex.org/I84653119,Academia Sinica,facility,TW,https://openalex.org/I84653119,1.000,Academia Sinica,Academia Sinica
"Academician (Expert) Workstation of Inner Mongolia Shanghaimiao Mining Company Ltd., Ordos, China",review,https://openalex.org/I4210134440,Expert System (Italy),company,IT,https://openalex.org/I4210134440,0.850,expert system (italy),Expert
"Academician Workstation of Electromagnetic Wave Engineering of Henan Province, Henan Normal University, Xinxiang, China",auto,https://openalex.org/I75955062,Henan Normal University,education,CN,https://openalex.org/I75955062,1.000,Henan Normal University,Henan Normal University
"Academy for Advanced Interdisciplinary Studies; School of Integrated Circuits, Peking University, Beijing, China",auto,https://openalex.org/I20231570,Peking University,education,CN,https://openalex.org/I20231570,1.000,Peking University,Peking University
"Academy of Marine Information Technology, Guilin University of Electronic Technology, Beihai, China",auto,https://openalex.org/I5343935,Guilin University of Electronic Technology,education,CN,https://openalex.org/I5343935,1.000,Guilin University of Electronic Technology,Guilin University of Electronic Technology
"Academy of Military Science of the People's Liberation Army, Beijing, China",review,https://openalex.org/I4210087417,Beijing Geriatric Hospital,healthcare,CN,https://openalex.org/I4210087417,0.850,beijing geriatric hospital,Beijing
"Academy of Ocean Science and Engineering, National University of Defense Technology, Changsha, China",auto,https://openalex.org/I170215575,National University of Defense Technology,education,CN,https://openalex.org/I170215575,1.000,National University of Defense Technology,National University of Defense Technology
"Academy of Technology, Hooghly, West Bengal, India",auto,https://openalex.org/I179760745,Mahaveer Academy of Technology and Science University,education,IN,https://openalex.org/I179760745,0.950,mahaveer academy of technology and science university,Academy of Technology
"Accelerator Technology and Applied Physics Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States",auto,https://openalex.org/I148283060,Lawrence Berkeley National Laboratory,facility,US,https://openalex.org/I1330989302|https://openalex.org/I148283060|https://openalex.org/I39565521,1.000,Lawrence Berkeley National Laboratory,Lawrence Berkeley National Laboratory
"Accelink Technologies Company Ltd., Wuhan, China",review,https://openalex.org/I4210099912,Wuhan Science and Technology Bureau,government,CN,https://openalex.org/I4210099912,0.850,wuhan science and technology bureau,Wuhan
"Access Network Service Systems Laboratories, NTT Corporation, Ibaraki, Japan",review,https://openalex.org/I4210155507,Ibaraki Children's Hospital,healthcare,JP,https://openalex.org/I4210155507,0.850,ibaraki children's hospital,Ibaraki
"Access Network Service Systems Laboratories, NTT Corporation, Tsukuba, Japan",review,https://openalex.org/I75256744,Tennessee State University,education,US,https://openalex.org/I75256744,0.850,tsu,Tsukuba
"Access Network Service Systems Laboratories, NTT, Inc., Kanagawa, Japan",review,https://openalex.org/I4210124743,Kanagawa Prefecture Natural Environment Conservation Center,government,JP,https://openalex.org/I4210124743,0.850,kanagawa prefecture natural environment conservation center,Kanagawa
"Access Network Service Systems Laboratories, NTT, Inc., Tsukuba, Japan",review,https://openalex.org/I75256744,Tennessee State University,education,US,https://openalex.org/I75256744,0.850,tsu,Tsukuba
"Access Network Service Systems Laboratories, Nippon Telegraph and Telephone (NTT) Corporation, Tsukuba, Ibaraki, Japan",auto,https://openalex.org/I4210092597,NTT (United States),company,US,https://openalex.org/I2251713219|https://openalex.org/I4210092597,1.000,Nippon Telegraph and Telephone,Nippon Telegraph and Telephone
"Access Network Service Systems Laboratories, Nippon Telegraph and Telephone (NTT) Corporation, Tsukuba, Japan",auto,https://openalex.org/I4210092597,NTT (United States),company,US,https://openalex.org/I2251713219|https://openalex.org/I4210092597,1.000,Nippon Telegraph and Telephone,Nippon Telegraph and Telephone
"Access Network Service Systems Laboratories, Nippon Telegraph and Telephone Corporation, Tsukuba, Japan",auto,https://openalex.org/I4210092597,NTT (United States),company,US,https://openalex.org/I2251713219|https://openalex.org/I4210092597,1.000,Nippon Telegraph and Telephone,Nippon Telegraph and Telephone
"Access Network Service Systems Laboratories, Tsukuba, Japan",review,https://openalex.org/I75256744,Tennessee State University,education,US,https://openalex.org/I75256744,0.850,tsu,Tsukuba
"AdTran Networks SE, Martinsried/Munich, Germany",unmatched,,,,,,0.000,,
"Adelaide Nursing School, Faculty of Health and Medical Science, University of Adelaide, Adelaide, SA, Australia",auto,https://openalex.org/I5681781,The University of Adelaide,education,AU,https://openalex.org/I5681781,1.000,University of Adelaide,University of Adelaide
"Adtran Networks SE, Munich, Germany",review,https://openalex.org/I19008122,Mangalore University,education,IN,https://openalex.org/I19008122,0.850,mu,Munich
"Adtran Networks SE, Villebon-sur-Yvette, France",unmatched,,,,,,0.000,,
"Adva Network Security GmbH, Berlin, Germany",review,https://openalex.org/I4210139777,Berlin Institute of Health at Charité - Universitätsmedizin Berlin,facility,DE,https://openalex.org/I4210139777|https://openalex.org/I7877124,0.850,berlin institute of health at charité - universitätsmedizin berlin,Berlin
"Adva Network Security, Berlin, Germany",review,https://openalex.org/I4210139777,Berlin Institute of Health at Charité - Universitätsmedizin Berlin,facility,DE,https://openalex.org/I4210139777|https://openalex.org/I7877124,0.850,berlin institute of health at charité - universitätsmedizin berlin,Berlin
"Advance Micro Foundry Pte. Ltd., Singapore",unmatched,,,,,,0.000,,
"Advanced Computing and Simulation Laboratory (A χ L), Department of Electrical and Computer Systems Engineering, Monash University, Clayton, VIC, Australia",auto,https://openalex.org/I56590836,Monash University,education,AU,https://openalex.org/I56590836,1.000,Monash University,Monash University
"Advanced Digital Sciences Center,Singapore",auto,https://openalex.org/I4210108443,Advanced Digital Sciences Center,facility,SG,https://openalex.org/I4210108443,1.000,Advanced Digital Sciences Center,Advanced Digital Sciences Center
"Advanced Electronics and Photonics Research Center, National Research Council Canada, Ottawa, ON, Canada",auto,https://openalex.org/I4210159778,National Research Council Canada,government,CA,https://openalex.org/I4210159778,1.000,National Research Council Canada,National Research Council Canada
"Advanced Electronics and Photonics Research Center, National Research Council of Canada, Ottawa, ON, Canada",auto,https://openalex.org/I4210159778,National Research Council Canada,government,CA,https://openalex.org/I4210159778,1.000,National Research Council of Canada,National Research Council of Canada
"Advanced Electronics and Photonics Research Centre, National Research Council Canada, Ottawa, ON, Canada",auto,https://openalex.org/I4210159778,National Research Council Canada,government,CA,https://openalex.org/I4210159778,1.000,National Research Council Canada,National Research Council Canada
"Advanced Fiber Devices and Systems Group, Key Laboratory of Micro and Nano Photonic Structures (MoE), Key Laboratory for Information Science of Electromagnetic Waves (MoE), Shanghai Engineering Research Center of Ultra-Precision Optical Manufacturing, School of Information Science and Technology, Fudan University, Shanghai, China",auto,https://openalex.org/I4210141165,Ministry of Education,government,TW,https://openalex.org/I4210141165|https://openalex.org/I4405257903,1.000,MoE,MoE
"Advanced Fiber Resources (Zhuhai), Ltd., Zhuhai, China",auto,https://openalex.org/I4210140060,Advanced Fiber Resources (China),company,CN,https://openalex.org/I4210140060,0.950,advanced fiber resources (china),Advanced Fiber Resources
"Advanced Industrial Science and Technology, Tsukuba, Japan",auto,https://openalex.org/I73613424,National Institute of Advanced Industrial Science and Technology,government,JP,https://openalex.org/I73613424,0.950,national institute of advanced industrial science and technology,Advanced Industrial Science and Technology
"Advanced Innovation Center for Integrated Circuits, Beijing, Beijing, China",review,https://openalex.org/I4210087417,Beijing Geriatric Hospital,healthcare,CN,https://openalex.org/I4210087417,0.850,beijing geriatric hospital,Beijing
"Advanced Innovation for Integrated Circuits, Beijing, Beijing, China",review,https://openalex.org/I4210087417,Beijing Geriatric Hospital,healthcare,CN,https://openalex.org/I4210087417,0.850,beijing geriatric hospital,Beijing
"Advanced Institute of Information Technology of Peking University, Hangzhou, Zhejiang, China",review,https://openalex.org/I75059550,Zhejiang Gongshang University,education,CN,https://openalex.org/I75059550,0.850,hangzhou business school,Hangzhou
"Advanced Institute of Informative Technology of Peking University,Hangzhou,China",review,https://openalex.org/I75059550,Zhejiang Gongshang University,education,CN,https://openalex.org/I75059550,0.850,hangzhou business school,Hangzhou
"Advanced Institute of Photonic Technology and the School of Information Engineering of Guangdong University of Technology, Guangzhou, China",unmatched,,,,,,0.000,,
"Advanced Institute of Photonic Technology and the School of Information Engineering of Guangdong, University of Technology, Guangzhou, China",auto,https://openalex.org/I4210134318,University of Technology,education,RU,https://openalex.org/I4210134318,1.000,University of Technology,University of Technology
"Advanced Institute of Photonic Technology and the School of Information Engineering, Guangdong University of Technology, Guangzhou, China",auto,https://openalex.org/I139024713,Guangdong University of Technology,education,CN,https://openalex.org/I139024713,1.000,Guangdong University of Technology,Guangdong University of Technology
"Advanced Institute of Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangdong, China",auto,https://openalex.org/I139024713,Guangdong University of Technology,education,CN,https://openalex.org/I139024713,1.000,Guangdong University of Technology,Guangdong University of Technology
"Advanced Institute of Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China",auto,https://openalex.org/I139024713,Guangdong University of Technology,education,CN,https://openalex.org/I139024713,1.000,Guangdong University of Technology,Guangdong University of Technology
"Advanced Institute of Photonics Technology, School of Information Engineering, and Guangdong Provincial Key Laboratory of Information Photonics Technology, Guangdong University of Technology, Guangzhou, China",auto,https://openalex.org/I139024713,Guangdong University of Technology,education,CN,https://openalex.org/I139024713,1.000,Guangdong University of Technology,Guangdong University of Technology
"Advanced Interdisciplinary Innovation Laboratory of Terahertz Biophysics, National Innovation Institute of Defense Technology, Beijing, China",review,https://openalex.org/I4210087417,Beijing Geriatric Hospital,healthcare,CN,https://openalex.org/I4210087417,0.850,beijing geriatric hospital,Beijing
"Advanced Laser Technology Lab of Anhui Province, Hefei, China",review,https://openalex.org/I4210099079,Institute of Intelligent Machines,facility,CN,https://openalex.org/I19820366|https://openalex.org/I2802624667|https://openalex.org/I4210099079,0.850,hefei institute of intelligent machines,Hefei
"Advanced Laser Technology Laboratory of Anhui Province, Department of Optics and Optical Engineering, University of Science and Technology of China, Hefei, Anhui, China",auto,https://openalex.org/I126520041,University of Science and Technology of China,education,CN,https://openalex.org/I126520041|https://openalex.org/I19820366,1.000,University of Science and Technology of China,University of Science and Technology of China
"Advanced Laser Technology Laboratory of Anhui Province, Hefei, China",review,https://openalex.org/I4210099079,Institute of Intelligent Machines,facility,CN,https://openalex.org/I19820366|https://openalex.org/I2802624667|https://openalex.org/I4210099079,0.850,hefei institute of intelligent machines,Hefei
"Advanced Laser and Optoelectronic Functional Materials Department, Special Glasses and Fibers Research Center, Shanghai Institute of Optics and Fine Mechanics, Chinese Academy of Sciences, Shanghai, China",auto,https://openalex.org/I4210135349,Shanghai Institute of Optics and Fine Mechanics,facility,CN,https://openalex.org/I19820366|https://openalex.org/I4210135349,1.000,Shanghai Institute of Optics and Fine Mechanics,Shanghai Institute of Optics and Fine Mechanics
"Advanced Memory Development Center, Kioxia Corporation,Yokkaichi,Mie,Japan",review,https://openalex.org/I4210099007,Kongsberg Innovasjon (Norway),company,NO,https://openalex.org/I4210099007,0.850,ki,Kioxia
Advanced Micro Devices,auto,https://openalex.org/I1311921367,Advanced Micro Devices (Canada),company,CA,https://openalex.org/I1311921367|https://openalex.org/I4210137977,0.950,advanced micro devices (canada),Advanced Micro Devices
"Advanced Micro Devices, Inc,AMD Research and Advanced Development",auto,https://openalex.org/I1311921367,Advanced Micro Devices (Canada),company,CA,https://openalex.org/I1311921367|https://openalex.org/I4210137977,0.950,advanced micro devices (canada),Advanced Micro Devices
"Advanced Micro Devices, Inc.",auto,https://openalex.org/I1311921367,Advanced Micro Devices (Canada),company,CA,https://openalex.org/I1311921367|https://openalex.org/I4210137977,0.950,advanced micro devices (canada),Advanced Micro Devices
"Advanced Micro Devices, Inc., Bellevue, Washington",auto,https://openalex.org/I4210108985,Bellevue Hospital Center,healthcare,US,https://openalex.org/I1283621791|https://openalex.org/I4210086933|https://openalex.org/I4210108985,1.000,Bellevue,Bellevue
"Advanced Micro Devices, Inc.,Fort Collins,CO,USA",auto,https://openalex.org/I1311921367,Advanced Micro Devices (Canada),company,CA,https://openalex.org/I1311921367|https://openalex.org/I4210137977,0.950,advanced micro devices (canada),Advanced Micro Devices
"Advanced Micro Devices, Inc.,Munich,Germany",auto,https://openalex.org/I1311921367,Advanced Micro Devices (Canada),company,CA,https://openalex.org/I1311921367|https://openalex.org/I4210137977,0.950,advanced micro devices (canada),Advanced Micro Devices
"Advanced Micro Devices,San Jose,CA,USA",auto,https://openalex.org/I1311921367,Advanced Micro Devices (Canada),company,CA,https://openalex.org/I1311921367|https://openalex.org/I4210137977,0.950,advanced micro devices (canada),Advanced Micro Devices
"Advanced Micro Foundry Pte Ltd., Singapore",unmatched,,,,,,0.000,,
"Advanced Micro Foundry, Singapore",unmatched,,,,,,0.000,,
"Advanced Network Research Laboratories, NEC Corporation, Kawasaki, Japan",auto,https://openalex.org/I4210107353,NEC (United States),company,US,https://openalex.org/I118347220|https://openalex.org/I4210107353,0.950,nec corporation of america,NEC Corporation
"Advanced Photon Center, School of Electrical Science and Engineering, Southeast University, Nanjing, China",auto,https://openalex.org/I4210090971,Southeast University,education,BD,https://openalex.org/I4210090971,1.000,Southeast University,Southeast University
"Advanced Photonic Integrated Devices Development Department, Furukawa Electric Company, Ltd, Ichihara, Japan",review,https://openalex.org/I4210135832,Institute of Child Health,healthcare,IN,https://openalex.org/I4210135832,0.850,ich,Ichihara
